Intervalo Educacional;Países;Salário;Índice Criminal
10.928949;;;40.24
11.16;;;40.23
10.890854;;;39.54
10.451879;;;39.53
7.25;;;39.51
7.1720037;;;39.41
7.057986;;;39.25
12.002888;;;39.15
12.29;;;38.97
12.294594;;;38.89
11.735149;;;38.82
7.877404;;;38.39
7.61;;;38.25
7.5474086;;;38.19
7.6661263;;;38.12
8.998002;;;38.09
11.47;;;38.05
11.797472;;;38.01
9.127437;;;37.93
7.79;;;37.91
8.413991;;;37.8
8.469239;;;37.58
7.09;;;37.56
6.872484;;;37.51
7.381945;;;37.25
7.7;;;37.25
7.9088855;;;37.25
7.8708215;;;37.17
7.7299128;;;37.15
7.63;;;37.13
7.432086;;;36.82
7.382034;;;36.77
8.44;;;36.74
8.637445;;;36.51
8.652101;;;36.49
6.39;;;36.46
6.309405;;;36.41
6.252321;;;36.37
10.714331;;;36.24
11.27;;;36.17
11.557375;;;36.16
10.978801;;;36.03
6.83;;;35.77
6.579643;;;35.66
6.3352394;;;35.59
5.3775744;;;35.55
5.5;;;35.52
6.314051;;;35.35
6.314051;;;35.06
2.34;;;35.05
2.2065024;;;34.77
2.2065024;;;34.6
10.953849;;;34.43
11.17;;;34.33
11.367647;;;34.17
10.975232;;;34.06
4.3151164;;;34.06
4.336187;;;33.98
4.3092637;;;33.96
6.2626147;;;33.86
6.8243856;;;33.81
6.882163;;;33.74
10.184711;;;33.68
9.91;;;33.67
9.929836;;;33.62
9.795577;;;33.48
9.175985;;;33.41
11.0;;;33.17
11.072586;;;33.13
11.573814;;;33.11
5.1180897;;;33.06
4.19;;;32.92
4.713441;;;32.72
4.713441;;;32.44
5.1356025;;;32.4
5.39;;;32.35
5.5110817;;;32.28
5.5056524;;;32.18
8.286579;;;32.05
9.11;;;31.86
9.335915;;;31.59
8.889285;;;31.57
2.74;;;31.41
2.860348;;;31.2
2.5783932;;;30.99
9.726167;;;30.94
10.08;;;30.87
10.193724;;;30.71
10.193024;;;30.63
5.0962;;;30.61
5.659488;;;30.57
3.42;;;30.55
4.025404;;;30.51
4.2314367;;;30.36
9.054855;;;30.29
9.46;;;30.28
9.447635;;;30.15
9.405725;;;30.06
8.503864;;;30.0
8.64;;;29.98
8.812746;;;29.89
8.824254;;;29.87
6.2033944;;;29.61
7.186352;;;29.52
7.9066463;;;29.23
8.21;;;29.19
8.250541;;;29.17
